Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,49,0.6935736786428095,48
55,148,0.2538548351227005,140
54,73,0.29742575650749903,55
53,38,0.3544404726307426,30
52,22,0.3256529065261298,19
51,122,0.2204896497609183,116
50,82,0.34332036922858006,73
49,139,0.29636086330997796,130
48,142,0.2904277739173381,130
47,212,0.2999679362345002,193
46,176,0.3036470341800661,154
45,52,0.27748027550176696,35
44,1221,0.21040060050283485,1215
43,138,0.2544621810154771,10
42,611,0.1991899477195013,610
41,69,0.016461528369685174,4
40,1,,
39,3,,
38,1,,
37,7,0.08462566730217469,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.15103417207713243,2
31,55,0.15531241513580302,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
