Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,51,,
55,152,0.05038424632653063,147
54,71,0.018711369999999988,60
53,34,0.021107252483870992,31
52,24,0.023970300636363667,22
51,115,0.015226124107142852,112
50,83,0.016783569571428552,70
49,143,0.009702533870229013,131
48,140,0.011771975875968997,129
47,218,0.006701718656565647,198
46,169,0.005862698480263172,152
45,58,0.004410638717948717,39
44,1206,0.004121029684385384,1204
43,148,0.0026004333333333493,9
42,605,0.002285038888888886,603
41,76,0.0007283999999998514,4
40,1,,
39,3,,
38,1,,
37,7,0.00016637000000008229,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0,2
31,53,0.00059608807692308,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
