Iteration,SampleCount,S_HZ_CON1_MIN,S_HZ_CON1_MIN_Weight
56,48,,
55,154,0.5053239361466443,146
54,71,0.11921281988012926,59
53,34,0.10573666932770062,30
52,26,0.08774435035683552,23
51,108,0.09352447406966392,106
50,91,0.12418547863957713,72
49,144,0.1129708549539491,134
48,140,0.13861370627350333,132
47,209,0.0533010527080918,192
46,175,0.07056006411158315,152
45,59,0.1118079750899079,40
44,1213,0.09663992021335041,1212
43,140,0.04117734977681546,9
42,606,0.037171825516131886,604
41,75,0.03743105065518926,4
40,1,,
39,3,,
38,1,,
37,7,0.09349420714644602,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.061149209863956444,2
31,54,0.03310151648948753,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
