Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,50,1.4826345654166666,48
55,151,0.1346635481818182,143
54,70,0.029174756363636336,55
53,39,0.0608339380645161,31
52,25,0.10518073086956514,23
51,110,0.04104543712962967,108
50,92,0.040247177333333335,75
49,129,0.04418751250819672,122
48,159,0.034148280575539564,139
47,205,0.016273191682051262,195
46,171,0.019415852218543084,151
45,54,0.010510201764705908,34
44,1211,0.007556350116279069,1204
43,150,0.0010159745454545656,11
42,622,,
41,57,0.0038226000000003424,4
40,1,,
39,3,,
38,1,,
37,6,0.0012268000000001944,1
36,27,0.0011878615384615953,26
35,5,,
34,13,,
33,16,,
32,12,0.0,2
31,53,0.0008162492307692538,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
