Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,47,,
55,154,0.6968286938425505,145
54,71,0.7708683530614252,58
53,32,0.8597092781705962,27
52,31,0.9608439934961751,25
51,109,,
50,91,0.7524015848283795,75
49,137,0.8070228513684686,130
48,139,0.8874886602528773,127
47,219,0.8580823493898753,197
46,176,0.9419826491950771,158
45,50,0.8711273530404511,37
44,1211,0.5318762026040179,1207
43,144,0.5880504633073088,8
42,615,0.5581685434136606,612
41,66,0.834237909983923,3
40,2,,
39,3,,
38,1,,
37,6,0.08483885196998919,1
36,25,0.7571010459828145,24
35,7,,
34,13,,
33,16,,
32,12,0.8939051630763397,2
31,53,0.5269244376287427,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
