Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,53,,
55,143,9.892880165856306e-16,140
54,74,3.917931455456523e-12,56
53,40,4.010416284835305e-08,33
52,20,,
51,124,0.00023521841594231576,119
50,82,0.04626123253939915,76
49,131,0.8293226365800264,125
48,144,0.923219559647528,127
47,217,0.8549690687079189,195
46,169,0.9369353821794727,149
45,58,0.8897026491484319,36
44,1215,0.5377682093419602,1210
43,141,0.5962880487080793,8
42,617,0.5524524936362364,614
41,64,0.8330448607384668,3
40,2,,
39,3,,
38,1,,
37,6,0.08405674263230623,1
36,26,0.8693551180855191,25
35,6,,
34,13,,
33,16,,
32,12,0.8921191529118826,2
31,53,0.5633860018322878,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
