Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,47,,
55,153,0.21917046795269077,144
54,69,0.1778612648880054,55
53,40,0.16457509879766322,32
52,23,0.29856320180153123,22
51,110,0.22484687455799093,107
50,94,0.2494054967317878,76
49,134,0.3011318468473736,128
48,148,0.17692845182260467,134
47,210,0.1932367322174658,195
46,169,0.13363038426886192,149
45,59,0.08545369134295747,37
44,1221,0.08498366861711483,1217
43,137,0.09167941059188643,11
42,604,,
41,75,0.21719188820632318,4
40,1,,
39,3,,
38,1,,
37,7,0.10224240033425891,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.02377287378991344,2
31,52,0.03971876553204603,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
