Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,152,0.09775970117602172,147
54,64,0.06255920684262842,53
53,41,0.063378171575805,31
52,24,0.0886502710729926,22
51,118,0.07727284554985799,115
50,86,0.23978092658754296,76
49,135,0.08860069628332064,129
48,147,0.07704126364780789,134
47,213,0.04015533651045362,198
46,166,0.034944291509822006,149
45,56,0.04177118631241713,34
44,1215,0.02068116811855327,1208
43,145,0.020517507934942246,10
42,601,0.03553231977338847,600
41,79,0.19466594940982418,4
40,1,,
39,3,,
38,1,,
37,7,0.01738983805213412,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.02706408063259147,1
31,56,0.022264731971324555,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
