Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,53,,
55,151,0.26857510732447615,148
54,67,0.2541444640993674,57
53,38,0.31388946201530826,32
52,26,0.31055511016629855,25
51,115,,
50,81,0.27046713534411454,71
49,137,0.2688168071962429,126
48,155,0.2620965036658688,139
47,200,0.26288014177469093,190
46,181,0.29312286542032623,156
45,48,0.3243896524500509,33
44,1206,0.20233058687238714,1198
43,155,0.2453796070790068,10
42,606,0.20740731936173346,605
41,74,0.46135469096169734,4
40,1,,
39,3,,
38,1,,
37,7,0.11807986385091085,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.5128877780705968,2
31,52,0.20756171620098265,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
