Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,54,,
55,146,0.34232259330720805,144
54,66,0.3485530814132164,52
53,36,0.41306361203064096,25
52,30,0.4945516206407394,22
51,116,0.2871610709433992,113
50,82,0.4059396539384225,70
49,139,0.30904886620659333,127
48,153,0.29789919206126153,138
47,205,0.34107783912216066,194
46,173,0.307412515124071,152
45,56,0.31517371218437346,37
44,1232,0.21802826602597544,1228
43,124,0.3026081380513215,9
42,596,0.22681623685483857,594
41,85,0.13217288884699763,4
40,1,,
39,3,,
38,1,,
37,7,0.18826241786605447,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.1303425283681885,2
31,54,0.19844293691213813,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
