Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,0.5529981290816326,49
55,155,0.39849981079852576,148
54,68,0.43118452980322436,58
53,36,0.468738053149764,31
52,25,0.555301447038848,23
51,107,0.41765239908879775,105
50,95,0.4239742735761578,75
49,139,0.4493289771692376,132
48,143,0.5361178535140316,133
47,205,0.4814530956618669,189
46,179,0.5363047144024485,153
45,53,0.5232269264945467,35
44,1210,0.3077439586260721,1204
43,150,0.3391049878363047,11
42,616,,
41,63,0.49905818623193954,4
40,1,,
39,3,,
38,1,,
37,7,0.04761617385396799,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.527140968894387,2
31,53,0.2644667962029957,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
