Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
58,66,,
57,173,1.1820147363300773,168
56,85,1.0327355092619632,74
55,52,1.0113773320468396,45
54,34,1.0440797164995772,28
53,142,1.3083673650812258,139
52,146,119080.94380783556,133
51,212,1.97529918896495,200
50,198,1.5006438675323068,181
49,251,2.378880353603264,230
48,206,0.7704557556077205,170
47,62,0.7561472258613416,45
46,1236,0.9029124998168564,1232
45,154,0.6695016418692014,11
44,605,0.8824878232278457,604
43,77,1.3847069378476184,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.9643831801531031,2
38.0,25.0,,
37,10,,
36,17,,
35,22,,
34,14,1.434034847500977,2
33,60,0.8208919074144335,27
32,9,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
