Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,,
55,149,6.053771822263306e-08,145
54,70,1.511896139180255e-07,57
53,34,1.393932929830937e-06,28
52,29,1.1153217565460874e-05,24
51,112,0.004944862490498385,111
50,84,0.4153650106606804,70
49,134,0.4642613299616788,122
48,158,0.5437387234756512,138
47,200,0.48680832867769835,189
46,183,0.5377594155156067,157
45,50,0.5544386039427001,36
44,1220,0.32069939382066176,1215
43,138,0.3339549361022872,10
42,608,0.32123570477317537,607
41,72,0.491604428180459,4
40,1,,
39,3,,
38,1,,
37,7,0.0428745894426385,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.5876877875567015,1
31,52,0.307665062799805,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
