Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,52,0.21137981034438164,51
55,147,0.0600203680047246,142
54,75,0.04066940513151351,59
53,30,0.056526428510138976,26
52,27,0.051913823169777246,20
51,124,0.03512532669558972,119
50,79,0.10468523277368427,73
49,130,0.04360540054514307,121
48,154,0.04066448475582044,133
47,219,0.03178843587690997,203
46,167,0.0238199155451272,155
45,52,0.026512151641359696,36
44,1200,0.021083467423277175,1195
43,156,0.01666501242923242,8
42,624,0.02400256981185979,621
41,58,0.0658759954612464,4
40,1,,
39,3,,
38,1,,
37,7,0.03956922275334135,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.0375488971665775,2
31,52,0.006868810054892091,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
