Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,47,0.3689078640391616,46
55,151,0.16199169396186783,141
54,76,0.1527247723127538,59
53,33,0.16740460165833965,29
52,25,0.17892704632042494,21
51,114,0.12820756755677293,110
50,87,0.16242331615176964,72
49,142,0.1488145152698566,132
48,138,0.14203347249308698,128
47,216,0.14765874828781986,195
46,173,0.1735123617110685,153
45,58,0.19327788933538975,40
44,1212,0.1310629989532283,1211
43,142,0.12118007102676585,10
42,612,0.1262718596549047,611
41,67,0.25310905430560277,3
40,2,,
39,3,,
38,1,,
37,7,0.04902155431600824,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.2532163027325389,2
31,54,0.12124138389634108,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
