Iteration,SampleCount,S_HZ_CON_MIN,S_HZ_CON_MIN_Weight
56,51,,
55,151,0.19011966023439772,146
54,68,0.18253449643728542,56
53,38,0.21983237245245468,31
52,24,0.2551239685877908,22
51,119,0.14914949875635383,116
50,77,0.20363706205212562,68
49,143,0.1679842781061618,129
48,150,0.16950977162317515,137
47,202,0.18559457170302543,190
46,184,0.16952747973850948,159
45,50,0.16982438398390395,38
44,1200,0.11941739232003629,1197
43,155,0.17218450945986447,9
42,614,0.12477664004744866,612
41,66,0.04047593610290856,3
40,2,,
39,3,,
38,1,,
37,7,0.12630669580007292,2
36,23,,
35,8,,
34,13,,
33,16,,
32,11,0.121023735829217,1
31,56,0.1061931645907394,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
