Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,54,0.9510932075471699,53
55,144,0.7409827034153145,141
54,72,0.8525920264619976,55
53,37,0.8908882614359668,29
52,25,1.1094462402999055,21
51,118,0.7597752279172043,114
50,86,0.7717043067647241,75
49,139,0.8543738711559854,132
48,149,0.9869073795340675,139
47,205,0.8796125590694249,195
46,179,0.9900415300267686,159
45,48,0.9038052731091674,36
44,1203,0.554204067724205,1198
43,154,0.693694653417976,9
42,607,0.5828019206692993,605
41,74,0.8868503798181482,4
40,1,,
39,3,,
38,1,,
37,7,0.09614718381351817,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.9493885640212565,2
31,51,0.5620094793454968,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
