Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,52,0.6126020106693187,51
55,148,0.16001809557352933,143
54,72,0.5792969106460643,57
53,35,0.03801759649740881,29
52,29,0.1481867818725855,25
51,114,,
50,85,10754955.671370162,74
49,133,1.838838803394857,125
48,147,0.03988587126798685,130
47,212,0.508395865539807,193
46,172,0.05262226380971957,150
45,55,0.5352489637384495,34
44,1211,1.4367481146692918,1204
43,149,0.8626639829586916,10
42,618,0.3413963839370664,617
41,62,0.3599176917975472,4
40,1,,
39,3,,
38,1,,
37,7,1.1545041703741388,2
36,28,,
35,3,,
34,13,,
33,16,,
32,11,0.2725873370171268,1
31,56,0.32792409020818564,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
