Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,50,,
55,145,0.0869832929193301,139
54,78,0.06222069554308672,59
53,37,0.08218424597580481,33
52,22,,
51,113,0.07103484986272193,110
50,91,0.10071511591258644,76
49,127,0.09223070301343521,121
48,151,0.06713219845909787,130
47,210,0.07210138515635557,191
46,178,0.050329672330458146,154
45,56,0.04387100668874194,39
44,1215,0.030209027372216972,1213
43,139,0.05073609269474304,9
42,615,0.02835140678626906,613
41,66,0.5985509474777868,4
40,1,,
39,3,,
38,1,,
37,7,0.0327405333781855,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.01836411758714873,2
31,52,0.023467914799473896,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
