Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,50,0.5534731251555491,49
55,147,0.04529405930556744,140
54,74,0.0318597850009652,56
53,37,0.016861386299472873,30
52,26,0.04813233088433227,23
51,115,0.026443888019553278,113
50,82,0.03243783020095437,70
49,143,0.02145976216033314,131
48,145,0.019562191581914735,134
47,204,0.01109650233294151,189
46,180,0.008218122246836296,154
45,55,0.009909730045913478,38
44,1212,0.005858244355702833,1209
43,144,0.0042043477567383246,10
42,614,0.006012128131168159,613
41,64,0.005644428487939779,2
40,3,,
39,3,,
38,1,,
37,7,0.009762572960940519,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.006802475283728349,2
31,54,0.003638423254827928,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
