Iteration,SampleCount,S_HZ_OPT_MAX,S_HZ_OPT_MAX_Weight
56,49,,
55,150,0.27606378441116114,143
54,70,0.28105933853939885,55
53,39,0.33314732563530886,31
52,25,0.32643519301700424,23
51,117,0.22481181751938392,115
50,87,0.2848781870782905,77
49,131,0.2899248563435582,126
48,150,0.28593418593286807,134
47,207,0.27789495319557656,192
46,175,0.3035434823592779,152
45,57,0.35773640224485115,38
44,1213,0.21419150136245368,1210
43,144,0.24803877512744163,11
42,604,,
41,75,0.5095811284039462,4
40,1,,
39,3,,
38,1,,
37,7,0.11387468575098236,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.5323480617565401,2
31,49,0.22403932262875131,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
