Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,55,0.3331442574074074,54
55,148,0.058787195684931515,146
54,65,0.014140033396226421,53
53,38,0.031266427714285686,28
52,28,0.01028028704347832,23
51,114,0.01645838992857143,112
50,87,0.008773494554054028,74
49,142,0.007922229865671628,134
48,141,0.010151576624060157,133
47,209,0.006686105139896368,193
46,177,0.005218672916129028,155
45,52,0.0027344963055555647,36
44,1219,0.003492386051894565,1214
43,139,0.0009559030000000024,10
42,599,0.0015814220568561828,598
41,81,0.0004950999999999706,4
40,1,,
39,3,,
38,1,,
37,7,0.0004164999999999863,2
36,21,,
35,10,,
34,13,,
33,16,,
32,12,0.0,2
31,54,6.26174074074076e-05,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
