Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,0.3829036388,50
55,149,0.3079265291633367,143
54,76,0.35510092878968413,61
53,32,0.37625415374784843,30
52,25,0.45947033512289187,22
51,113,0.3197354015136421,110
50,89,0.346178636108066,74
49,134,0.3688396475586255,126
48,153,0.4148209963350482,137
47,211,0.385177763912975,199
46,165,0.40639582097753574,149
45,58,0.3819085347697896,36
44,1210,0.2468116562856426,1205
43,149,0.2715319347400559,11
42,605,,
41,74,0.3878921112144026,4
40,1,,
39,3,,
38,1,,
37,6,0.03146376643875626,1
36,28,0.3909505227350254,27
35,4,,
34,13,,
33,16,,
32,12,0.4098980034741202,2
31,54,0.24649200077888342,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
