Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,147,0.13477667915800245,142
54,74,0.06288485946331358,58
53,33,0.08438933906711636,28
52,28,0.06962747226963274,23
51,112,0.08655640494434294,110
50,89,0.14710548806989332,74
49,133,0.119184876912534,125
48,150,0.06584222116239426,133
47,209,0.06384742815571304,193
46,176,0.03323237426902131,154
45,57,0.05523588457061475,40
44,1213,0.05006363840903658,1212
43,142,0.02705343789752323,11
42,609,,
41,69,0.18654590533338675,3
40,2,,
39,3,,
38,1,,
37,7,0.07275491721128091,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.012908718941711195,2
31,52,0.026404875770031217,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
