Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,52,0.23771152927443162,51
55,145,0.04916095215418945,140
54,74,0.0296420982023073,56
53,38,0.03214824377854936,31
52,27,0.03937563189606149,25
51,112,,
50,92,0.05463147255156211,79
49,134,0.03398112408726144,131
48,145,0.02712141345669712,134
47,201,0.024569669977707296,186
46,184,0.014401638135147313,155
45,50,0.024313194710138784,34
44,1222,0.020556533582561924,1215
43,139,0.017285440153285724,11
42,599,,
41,80,0.060210604357681496,4
40,1,,
39,3,,
38,1,,
37,7,0.017529716491998637,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.03449157454454588,2
31,54,0.01178953659481655,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
