Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,154,0.022175814978488584,149
54,67,0.012473488197685487,58
53,33,0.009013441854549706,28
52,27,0.010230845668645513,22
51,115,0.012914193894028954,112
50,85,0.013537403825649497,72
49,141,0.009312112121849032,131
48,140,0.007550174858544705,129
47,208,0.005515521599988846,188
46,181,0.004573066255664387,154
45,56,0.00609630419495899,39
44,1214,0.003467277269403981,1212
43,142,0.0032836450595671233,11
42,601,,
41,77,0.003957546729539925,3
40,2,,
39,3,,
38,1,,
37,7,0.0016857094892715474,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0063157609462882736,2
31,55,0.002493878647277883,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
