Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,52,0.29719895125631063,50
55,153,0.12813810012195362,147
54,69,0.1290580788647683,58
53,37,0.15717339153323562,32
52,22,0.20447378588037204,21
51,115,0.10039863519666613,111
50,92,0.13428918436227624,78
49,132,0.1289208293614666,128
48,141,0.11642040708066015,127
47,217,0.1277036944118433,195
46,172,0.13654733685414358,152
45,56,0.13155450070048041,37
44,1206,0.09473473235368493,1202
43,151,0.1245265402385756,10
42,611,0.10164337724716528,610
41,68,0.18373382598327034,3
40,2,,
39,3,,
38,1,,
37,7,0.04582173877375262,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.17736531456786397,2
31,55,0.09819391276526106,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
