Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,0.29785740525424736,50
55,146,0.10669256004837989,140
54,71,0.12437883006969505,53
53,40,0.1574513531517587,30
52,28,0.1631748464676348,25
51,109,,
50,89,0.13146239972807225,73
49,139,0.12717361360379298,130
48,143,0.12909864097107962,131
47,214,0.12643353684402883,196
46,166,0.12663429613105726,147
45,65,0.12658577112183186,41
44,1219,,
43,134,0.10319140432386645,10
42,607,0.0801436393538562,606
41,72,0.023940752627385303,3
40,2,,
39,3,,
38,1,,
37,7,0.03601380474715993,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.0774335861405413,2
31,54,0.06038093617618258,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
