Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,51,,
55,149,0.07587412587412584,143
54,69,0.047407407407407384,54
53,36,0.040999999999999925,20
52,27,0.048823529411764814,17
51,121,0.07679245283018861,106
50,79,0.13469696969696965,66
49,143,0.11392523364485982,107
48,147,0.0878333333333333,120
47,206,0.07436464088397784,181
46,179,0.04924369747899158,119
45,51,0.09000000000000014,26
44,1202,0.05151973131822,1191
43,153,0.006666666666666821,3
42,609,0.03375000000000006,608
41,71,,
40,1,,
39,3,,
38,1,,
37,7,0.04333333333333359,3
36,27,,
35,4,0.14000000000000057,2
34,13,,
33,15,0.8300000000000001,1
32,12,,
31,56,0.01928571428571432,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
