Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,47,,
55,150,0.16067250673854427,140
54,77,0.1584687947496853,59
53,34,0.2008321364924007,23
52,26,0.25248181135704084,19
51,119,0.16062280165412587,106
50,81,0.18886159137807249,68
49,140,0.2443585286948662,106
48,140,0.2681041609754209,112
47,211,0.20233626205494926,178
46,181,0.21518379810319457,118
45,49,0.18019697037181306,23
44,1208,0.14764992129503596,1194
43,151,0.1083452468922197,4
42,615,,
41,64,,
40,1,,
39,3,,
38,1,,
37,7,0.06897717663776633,3
36,27,,
35,3,0.19336144369287123,1
34,14,,
33,16,1.5416964316270008,2
32,12,0.27578174967409286,1
31,54,0.13545546193521432,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
