Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,47,,
55,153,0.14372027633167378,143
54,72,1.6901504569735966,57
53,34,0.4851550188892553,21
52,27,1.3712351902305253,18
51,112,29.371340125125062,98
50,90,27.53337481468706,69
49,135,1.6045933714968637,102
48,153,0.35864141025937146,121
47,205,0.33653164423773624,181
46,180,0.3129928220421239,120
45,51,0.2899933656788397,27
44,1208,0.25220122305498466,1198
43,147,0.14887940223145413,4
42,608,,
41,71,,
39,4,,
38,1,,
37,6,0.05497428770142676,2
36,28,0.21567980508950738,27
35,4,0.25593549335262367,2
34,13,,
33,16,1.4816265157910284,2
32,12,0.21546944317113592,1
31,53,0.15787909399648958,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
