Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,53,0.6827517750053624,52
55,136,0.5018952340099374,131
54,80,0.16071877067963142,53
53,38,0.12177840968509612,21
52,27,0.18693522305568117,18
51,121,0.11248716650386593,107
50,81,0.27988657194294875,69
49,134,0.17150839742965535,101
48,144,0.15390548657907527,111
47,214,0.09602612761509076,180
46,184,0.10229202259538042,123
45,48,0.10219825845093673,27
44,1221,0.07561557133204881,1211
43,134,0.0713219467448376,4
42,606,,
41,73,,
40,1,,
39,3,,
38,1,,
37,7,0.07409329302161598,3
36,23,,
35,8,0.5090227562998542,2
34,13,,
33,16,0.4462902635921453,2
32,12,0.051875589389036136,1
31,56,0.04155500299522118,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
