Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,51,,
55,145,0.056285551957333396,139
54,75,0.0648733898057403,56
53,36,0.05399998068456205,22
52,25,0.05025092173480532,17
51,114,0.07653773417193495,99
50,85,0.17489039158098663,65
49,143,0.11318259366068058,106
48,140,0.07913546562780435,112
47,213,0.08065976603473465,180
46,179,0.04840417868084894,118
45,51,0.09717468271615366,25
44,1220,0.03604522198212659,1208
43,137,0.03692837518330161,4
42,610,,
41,69,,
40,1,,
39,3,,
38,1,,
37,7,0.02158155323639832,3
36,27,,
35,4,0.6652691492580443,2
34,13,,
33,16,0.602003305522181,2
32,12,0.06332652569520025,1
31,53,0.02229521051941302,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
