Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,52,0.13985304565131398,51
55,149,0.06062050806075112,143
54,71,0.05028844044149624,56
53,36,0.03324438904125615,22
52,24,0.04919395934011758,16
51,118,0.07750201301138314,102
50,89,0.10154529888238042,72
49,137,0.08772447283694321,107
48,143,0.06226468776777907,116
47,201,0.06273219696725472,172
46,185,0.037845036475349855,116
45,53,0.07206186884764051,25
44,1212,0.026943629162340194,1200
43,145,0.051414385992123446,4
42,613,,
41,66,,
40,1,,
39,3,,
38,1,,
37,7,0.05768754872686029,3
36,27,,
35,4,0.060812105524765236,2
34,13,,
33,15,0.21401063087842243,1
32,13,0.008187959972519643,1
31,52,0.0255282328124985,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
