Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,48,,
55,157,0.11270873628593425,148
54,67,0.13190491058166112,57
53,37,0.17543441272297997,24
52,24,0.17961050036016912,18
51,116,0.11788201005273533,102
50,82,0.1531888827530532,65
49,140,0.17260982439264907,103
48,149,0.1495420023654934,118
47,210,0.11146378370154313,183
46,178,0.08099613136484185,120
45,51,0.09854622781569135,27
44,1206,0.06524116332297875,1196
43,149,0.10870293363452732,4
42,603,,
41,76,,
39,4,,
38,1,,
37,7,0.03609986078611301,3
36,24,,
35,7,0.3379038456352208,2
34,13,,
33,16,0.6743840816731752,2
32,12,0.09574182855499913,1
31,53,0.05081441709852429,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
