Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,,
55,148,1.2788584399493315,143
54,72,1.3073687727852097,57
53,33,1.334929374609081,27
52,26,1.3786378547923344,20
51,120,1.2013394570935567,115
50,83,1.2593242740640065,73
49,134,1.2921795862658927,125
48,153,1.5789321560941916,136
47,209,1.2024843549049056,196
46,177,1.2870430420482266,158
45,50,1.0047337862038992,37
44,1207,0.8827950689038675,1203
43,149,0.8081403834116075,9
42,614,0.7725602623390966,612
41,66,1.1581809372493075,3
40,2,,
39,3,,
38,1,,
37,7,0.22961839301501863,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,1.2018442788490118,2
31,51,0.8218790574887294,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
