Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,48,1.5540489062524367,47
55,152,0.4765538676136458,143
54,68,0.39642220813423457,53
53,41,0.30308418731235504,31
52,21,0.3279615893879121,19
51,117,0.30202081126202934,111
50,90,0.3867300377471998,76
49,131,0.5811791489458898,125
48,153,0.35042596714285923,136
47,204,0.24064638417033338,191
46,185,0.19119368509387785,161
45,49,0.2953248202269,39
44,1207,0.26942830810224905,1205
43,144,0.09178561126787746,6
42,622,0.1757477170378055,617
41,62,0.6790562049752151,4
40,1,,
39,3,,
38,1,,
37,7,0.1498172171241462,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.10017193360109689,2
31,54,0.1091285987585994,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
