Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,1.31535498715338,50
55,150,0.21980833670043964,144
54,70,0.10338998665980761,56
53,35,0.1889637461691954,28
52,28,0.16552388951420688,23
51,112,0.1347430514418657,110
50,90,0.5343336021530074,75
49,136,0.1888097088681042,129
48,151,0.12338631541682961,138
47,203,0.09713835395385217,192
46,179,0.09336212845133078,156
45,52,0.10058658759591854,37
44,1207,0.07434474214841308,1203
43,151,0.0758855910926535,11
42,611,,
41,67,0.3175569463906185,3
40,2,,
39,3,,
38,1,,
37,6,0.2200237507372873,1
36,27,0.13720878443786114,26
35,5,,
34,13,,
33,16,,
32,12,0.20364038140331608,2
31,51,0.05610818645915276,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
