Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,50,,
55,151,0.837769751967607,145
54,72,0.7963499747915989,59
53,33,0.7731463189875183,29
52,28,0.8925366617108257,24
51,111,0.6917799032043239,110
50,85,0.7637141635761315,70
49,144,0.8347866766215531,132
48,143,0.7886119483816958,133
47,205,0.8881656001968391,189
46,175,0.8551278120898245,149
45,59,0.8875216016570756,37
44,1207,0.7733735181063516,1203
43,151,0.9890475234578682,11
42,619,,
41,60,0.4472213795341673,4
40,1,,
39,3,,
38,1,,
37,7,0.9759091115017219,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.3241064617859222,2
31,53,0.8710433004919753,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
