Iteration,SampleCount,S_MAG,S_MAG_Weight
56,54,2.398346153846154,52
55,145,0.8968248175182483,137
54,76,0.8349795918367349,49
53,31,1.5193181818181816,22
52,29,0.8234666666666669,15
51,113,,
50,87,1.153031746031746,63
49,135,1.1236093749999998,128
48,145,0.7056406249999999,128
47,213,0.670481865284974,193
46,172,0.5720723684210529,152
45,57,0.5710810810810816,37
44,1207,0.6029676079734222,1204
43,149,0.3872999999999992,10
42,607,0.37238448844884486,606
41,72,0.021000000000000796,3
40,2,1.4100000000000001,1
39,2,,
38,2,0.2060000000000013,1
37,7,,
36,25,,
35,5,0.26000000000000023,2
34,12,1.1477272727272727,11
33,18,0.9907999999999993,15
32,11,,
31,53,0.4185799999999996,50
30,9,0.8285,4
29,6,,
28,6,1.290000000000001,1
27,11,0.7254000000000005,5
26,8,,
25,67,2.320611111111111,18
24,1,,
23,3,,
19,1,,
16,1,,
