Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,2.5605118849520156,49
55,143,2.0863130105090972,132
54,79,6.764443199077264,47
53,33,4.642074805163355,22
52,27,5.059251528794661,13
51,118,14.092505220707986,116
50,85,2945616230.2241592,64
49,127,13.04136178624271,121
48,160,48.43446383978964,136
47,204,321.53341634318537,192
46,173,11837.22364016088,152
45,55,3236.7417651468695,35
44,1215,793.5970313667847,1210
43,144,507.3167025821438,11
42,607,,
41,72,136.81529650547344,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,179.28730586017144,3
34,12,,
33,17,221.80855626887214,15
32,10,,
31,49,271.1410269408479,45
30,14,204.51280766819815,4
29,8,,
28,5,265.1705340890039,2
27,13,234.0991264851683,8
26,6,149.58186525597904,1
25,65,198.6109475789934,17
24,2,,
23,3,,
19,1,,
16,1,,
