Iteration,SampleCount,S_MAG,S_MAG_Weight
56,50,2.41992537874315,46
55,149,1.2405476362099175,135
54,74,1.67997616300865,45
53,35,1.8123763244092381,22
52,28,1.4139064519256916,14
51,116,1.52345583319897,115
50,87,5.9747816945731245,65
49,135,2.0445476874145188,130
48,142,2.0752095661654684,127
47,210,1.5170483864923623,189
46,179,1.4901648253452655,155
45,49,1.638853110766519,32
44,1222,1.3730955630555737,1214
43,138,1.1191823820530447,9
42,613,0.9140943074577941,611
41,67,0.744855658919325,3
40,2,3.7473460333499062,1
39,3,,
38,1,,
37,6,,
36,26,1.1181415025082198,25
35,5,1.0432660012816912,2
34,13,1.8211555874284555,12
33,16,1.9116299195630586,14
32,13,2.3827649079836,12
31,49,1.1104406593760832,47
30,11,2.0047597624689306,3
29,8,1.0728875802283924,7
28,6,0.9903330814205482,2
27,12,1.3366536631540786,7
26,7,2.4726579032382414,1
25,66,3.0663687730395064,18
24,1,,
23,3,,
19,1,,
16,1,,
