Iteration,SampleCount,S_MAG,S_MAG_Weight
56,55,2.3613471716979033,52
55,145,1.0259440972033536,137
54,72,0.8392085277106787,45
53,38,1.2294059642750461,25
52,24,1.2871180635973842,13
51,113,1.1064167473875648,111
50,88,1.8269720565728556,62
49,139,1.7329165428720716,131
48,143,1.7988874773126045,129
47,212,1.6903177728654928,193
46,177,1.200327965173418,157
45,51,1.4416125678795395,36
44,1199,0.9440872293080925,1195
43,158,0.9033425662421797,10
42,607,0.7656770326473247,606
41,72,0.25660227418998244,3
40,2,3.816962064264594,1
39,3,,
38,1,,
37,7,,
36,25,,
35,6,1.407197100281038,3
34,10,,
33,17,1.024542236253398,13
32,13,0.8713649672687992,11
31,55,0.7912204918779961,52
30,7,1.5214282521933078,4
29,9,,
28,4,0.8562847977368975,2
27,12,1.070066905914213,7
26,6,,
25,68,2.8356833015709575,19
23,3,,
19,1,,
16,1,,
