Iteration,SampleCount,S_MAG,S_MAG_Weight
56,52,1.825948434977621,50
55,144,1.2830573604161264,134
54,75,1.2509742122391359,45
53,37,1.5076519146141798,24
52,24,1.0963086958625927,12
51,109,1.3315081097866122,106
50,97,3.731058509804012,66
49,134,2.0660606258547096,130
48,144,1.943967611310948,129
47,214,1.56459211386201,195
46,175,1.4102841795295942,157
45,49,1.7520540139651362,34
44,1220,1.3673930293048482,1214
43,140,0.9626132659711235,11
42,605,,
41,74,1.9813914866951148,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.8321962120679971,25
35,6,1.3503243009976937,3
34,11,,
33,13,2.029249536820464,10
32,16,1.4729263004879638,11
31,51,1.4040431161910207,48
30,8,1.9098154941930758,1
29,11,0.9812179021632423,8
28,5,1.1225285478093667,2
27,13,1.0098197696437297,8
26,6,2.731453542903397,1
25,64,2.457027184699157,16
24,3,,
23,3,,
19,1,,
16,1,,
