Iteration,SampleCount,S_MAG,S_MAG_Weight
56,55,1.8034024916699474,50
55,144,1.259394949149387,134
54,73,1.2485402603271407,43
53,39,1.4843478980706382,24
52,24,1.4871728213100543,12
51,115,1.0913460471110452,112
50,89,2.672153716026742,64
49,140,1.9753461766165068,134
48,141,1.9328220375001242,130
47,207,1.5006961922275064,189
46,183,1.5339043664157812,159
45,48,1.3577193705410382,35
44,1204,1.5116110970500058,1199
43,155,0.7911300249785252,11
42,604,,
41,74,2.2056918082512276,3
40,2,1.7966824344529968,1
39,2,,
38,2,0.11959855927215202,1
37,6,,
36,27,0.8564921715115029,26
35,5,1.363803898864715,3
34,12,,
33,17,1.827575361043888,15
32,12,,
31,55,0.9632116633232082,53
30,6,1.1524617910414579,4
29,9,,
28,3,1.079842177029013,1
27,13,0.7753654509628978,7
26,7,1.675102196121987,1
25,66,1.6890080364878397,18
24,1,,
23,3,,
19,1,,
16,1,,
