Iteration,SampleCount,S_MAG,S_MAG_Weight
56,55,1.878827887352089,52
55,150,1.2212121613860811,142
54,63,1.2238021361913292,41
53,39,1.835479614926663,22
52,27,1.2289442893647389,13
51,116,1.193655221769432,114
50,85,3.498761885538718,62
49,133,2.1857046742052875,125
48,152,2.382398918649766,132
47,209,1.6522326022131322,193
46,172,1.5248969833336046,152
45,53,1.5994938146900446,33
44,1208,1.7487023959345807,1201
43,152,0.6888335168960511,10
42,614,1.318204099054315,613
41,65,1.973937683753513,3
40,2,1.8949873700506625,1
39,3,,
38,1,,
37,5,,
36,29,1.453535750223255,27
35,3,1.033478199274751,2
34,14,1.7558596874212693,13
33,14,1.7820714528755255,13
32,10,1.9509484232210763,8
31,57,1.0694819417730326,51
30,7,1.692462158813522,3
29,10,1.0481529608242082,9
28,4,1.393566087869269,2
27,13,0.6556791935652255,8
26,6,1.7196468071467237,1
25,65,2.1399213674089483,17
24,2,,
23,3,,
19,1,,
16,1,,
