Iteration,SampleCount,S_MASS,S_MASS_Weight
56,48,,
55,152,0.15804526748971195,144
54,73,0.17996078108715927,59
53,32,0.2538877689898152,28
52,28,0.24134508563221804,23
51,121,0.2209377972529724,119
50,78,0.21398601271078166,72
49,135,0.2243267431585504,125
48,146,0.23873400767152564,129
47,211,0.2987759163740992,191
46,178,0.27444057034454655,153
45,56,0.31685919548427144,38
44,1205,0.134576222267352,1202
43,150,0.16094282464542084,9
42,676,0.08924375341129709,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.036403343147067856,5
36,28,,
35,3,,
34,11,,
33,18,0.3679398089733877,15
32,11,0.16988015436421544,9
31,53,0.21150205988445794,23
30,8,0.24064787040778107,4
29,10,0.15493980497229173,9
28,4,,
27,12,,
26,7,0.4306544323982379,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
