Iteration,SampleCount,S_MASS,S_MASS_Weight
56,54,,
55,141,0.40476501629261163,139
54,78,0.10091515961105807,59
53,34,0.109889071555767,30
52,25,0.10135152330062942,22
51,111,0.16862860337388147,108
50,90,0.16640654400931318,73
49,136,0.0939717458752481,127
48,146,0.07880525469194528,131
47,202,0.12060504720903877,184
46,192,0.06868342861932823,160
45,47,0.07454569092005382,36
44,1216,0.05480552316116257,1211
43,141,0.039623477429953646,9
42,676,0.027196815962985732,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.06655719636678573,5
36,28,,
35,3,,
34,12,,
33,17,0.1929564384657582,15
32,11,0.11044598637253034,9
31,54,0.16759911218313794,24
30,8,0.1453639985541099,5
29,5,,
28,8,0.18596450362252798,4
27,11,,
26,8,0.3371289526540443,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
