Iteration,SampleCount,S_MASS,S_MASS_Weight
56,50,0.1370111639448127,49
55,150,0.09415310669806945,143
54,73,0.08035451676641359,58
53,32,0.07831436474252977,27
52,29,0.09263221873513904,23
51,115,0.16402762852473884,113
50,87,0.17079111766654936,75
49,136,0.11997823824771363,129
48,148,0.10142586349522793,135
47,205,0.09327348678846897,191
46,183,0.08001244892182166,158
45,48,0.08862661949282603,35
44,1208,0.0771617971002457,1202
43,150,0.04659018319098515,9
42,676,0.06872329720124659,1
41,3,,
40,2,0.025888880061258723,1
39,2,,
38,2,0.0596836500458644,1
37,6,0.11353000401876132,4
36,29,,
35,2,,
34,14,0.08124073986123899,13
33,14,0.23381643281523906,13
32,14,0.11630704364507466,10
31,53,0.14038332146292593,24
30,8,0.1370320286701469,5
29,9,,
28,4,,
27,11,,
26,8,0.2551891469136951,6
25,56,,
24,11,,
23,3,,
19,1,,
16,1,,
