Iteration,SampleCount,S_MASS,S_MASS_Weight
56,50,,
55,147,0.10154764645085249,141
54,74,0.07172621963453468,57
53,38,0.13445384745002578,32
52,25,0.10460232288779565,24
51,112,0.17311629127726846,111
50,80,0.13925892794722158,66
49,142,0.11464558539978871,126
48,151,0.10489921922508519,135
47,203,0.1079804561437582,189
46,176,0.07411914304807303,149
45,56,0.07487163399696384,34
44,1225,0.06424229771230706,1218
43,134,0.045617537377940734,9
42,676,0.011021628761454294,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.08698733590500737,5
36,28,,
35,2,,
34,13,0.08115496330018439,12
33,17,0.21254761414890885,15
32,11,0.12354488732455117,9
31,55,0.14754246435033117,25
30,7,0.1365528861020997,5
29,9,,
28,3,,
27,12,0.30914622920740165,11
26,6,0.2223661856954977,4
25,62,0.2617604710556482,60
24,7,,
23,3,,
19,1,,
16,1,,
