Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,54,,
55,137,0.1697462686567164,134
54,82,0.18316363636363633,55
53,37,0.14389655172413793,29
52,25,0.22476190476190475,21
51,110,0.21347959183673468,98
50,88,0.19341791074626866,67
49,137,0.19797637803149606,127
48,148,0.21721698122641508,106
47,206,0.20793157884210525,190
46,175,0.18781967213114753,122
45,59,0.15875999999999998,25
44,1222,0.125428329100933,1179
43,134,0.28500000000000003,2
42,675,0.0,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.379,2
36,28,,
35,3,0.33,1
34,13,0.18499999999999994,4
33,16,0.14,11
32,12,0.06000000000000011,1
31,55,0.4225,4
30,6,0.3299999999999999,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
