Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,54,0.12283018867924528,53
55,142,0.15472453942520265,138
54,75,0.12784397147249413,52
53,35,0.1560658015651294,24
52,28,0.20928100620795798,19
51,120,0.14998251538178883,106
50,84,0.1702762335014151,71
49,133,0.16074585814024483,127
48,143,0.229725096145623,101
47,215,0.18669652598199446,194
46,179,0.14742315984595264,130
45,50,0.1548563644520619,24
44,1215,0.07513333451599498,1171
43,141,0.30013214743006755,1
42,676,0.3400175494356305,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.14891435746311601,2
36,28,,
35,3,0.34017559382499213,1
34,13,0.12742619420427911,4
33,14,0.12684223422918425,9
32,14,0.33989862032356083,1
31,56,0.33004037044432255,5
30,5,0.2801212095001398,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
