Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,49,0.14180665137802845,48
55,148,0.31184926073364205,139
54,74,0.7746440316093907,52
53,34,0.10528932014844666,23
52,29,0.33982337274294544,19
51,113,0.6565893600200247,99
50,88,3411987.2964988407,68
49,136,6.711899994480801,127
48,153,17.19462480739228,111
47,212,6745.746201330086,201
46,165,667.841688992191,123
45,56,848.478150684839,23
44,1223,3396.666577321718,1178
43,135,304.5862268761106,2
42,675,309.1262569941616,1
41,4,,
40,1,,
39,3,,
38,1,,
37,6,1492.1733238982001,1
36,29,,
35,3,4.593153279153202,1
34,12,11.785959709197279,3
33,16,67.98455202373349,10
32,13,51.549098083574044,1
31,56,49.22332178430192,5
30,4,1166.0365060789047,1
29,10,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
