Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,52,,
55,144,0.17118931682171062,139
54,74,0.16066427606392344,52
53,39,0.16363514572023521,28
52,23,0.21934017784857654,18
51,116,0.16802668707820193,101
50,85,0.21884165432076444,67
49,142,0.17537759965670832,132
48,145,0.19176372874349745,108
47,202,0.1744798865402873,188
46,179,0.12619017126877902,124
45,58,0.16534780640441657,26
44,1215,0.0765869638824324,1173
43,140,0.30930479283400614,2
42,675,0.24135412010970125,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.19476056891133706,2
36,28,,
35,3,0.37729576988440816,1
34,12,0.17689039431831954,3
33,17,0.09923110040645444,11
32,12,0.33541572277729764,1
31,55,0.23029840000285906,4
30,6,0.20253038642798746,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
