Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,50,0.18693449702603857,49
55,147,0.1420894098344773,139
54,74,0.1416521808062297,52
53,36,0.14110184240765336,25
52,26,0.22596730893089415,18
51,115,0.27745993412504355,100
50,90,0.3033994795863014,71
49,134,0.1623965746926641,128
48,154,0.1842550209916936,113
47,207,0.22803758652990316,198
46,176,0.1348871243615592,131
45,49,0.16113936474779839,24
44,1206,0.08573368866515198,1162
43,151,0.2700059226493719,2
42,675,0.2608523013805619,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.38551496185238954,2
36,28,,
35,2,,
34,14,0.17492386566694482,4
33,16,0.2130928299462395,11
32,11,,
31,56,0.31828991465435724,4
30,6,0.0673880153111336,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
