Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,52,0.11951929507608634,50
55,148,0.14365431872711612,141
54,74,0.12036500398386825,54
53,35,0.1224823893965434,26
52,27,0.2382544274412524,20
51,112,0.19130633139872832,99
50,89,0.17688360648990398,69
49,128,0.1805805051074634,120
48,156,0.17953808622080344,107
47,214,0.1611879530864302,199
46,172,0.14210293397149457,128
45,53,0.14901791315656235,25
44,1213,0.07553251045398862,1170
43,143,0.3502173764377862,2
42,675,0.1423486748540198,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.2933259529741238,2
36,28,,
35,3,0.29514309904643016,1
34,13,0.06141202569993339,4
33,16,0.16253228412866938,11
32,12,0.08771963720738996,1
31,56,0.2129795663232721,5
30,5,0.24154603216384896,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
