Iteration,SampleCount,S_METALLICITY,S_METALLICITY_Weight
56,52,,
55,144,0.147335931356083,139
54,70,0.11897417471621652,48
53,38,0.11580502490118136,23
52,27,0.2071384796316343,17
51,113,0.15368724159469482,97
50,91,0.2011314985957168,69
49,132,0.1597495035092182,124
48,153,0.17087615619702856,108
47,206,0.15811470528802293,192
46,176,0.1383660824156474,125
45,57,0.12521461503790154,26
44,1229,0.07302409059015944,1187
43,126,0.3470423750446896,2
42,675,0.13908438633344372,1
41,4,,
40,1,,
39,3,,
38,1,,
37,7,0.26795415917474324,2
36,28,,
35,3,0.2659013331261796,1
34,13,0.06738788812481429,4
33,15,0.12721062483182877,10
32,13,0.23701433543421843,1
31,56,0.22721691271284072,5
30,5,0.231982521608869,2
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
