Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,0.5081249999999999,48
55,145,0.3314997296566639,137
54,78,0.34976061268003444,57
53,33,0.41594405796618894,27
52,28,0.5726389918139191,22
51,113,0.3369176448021674,110
50,91,0.34295726325680104,76
49,135,0.43034533319896234,102
48,152,0.7635156476020468,85
47,205,0.43157112712384077,191
46,178,0.4948672487400496,150
45,50,0.4371667681293069,34
44,1216,0.2571584833314706,1212
43,141,0.26157546386132957,10
42,613,0.25693271046638205,612
41,67,0.29496779395141104,4
39,3,0.22538985114583254,2
38,2,0.4247466660262731,1
37,7,,
36,24,,
35,7,0.28551177274819195,2
34,10,0.7099999999999999,6
33,19,1.4697223494574367,4
32,12,0.635595677877377,10
31,54,0.2493538748894013,29
30,7,,
29,9,0.18768922278080835,6
28,4,,
27,13,0.48263690966537864,5
26,6,,
25,66,0.21500000000000002,2
24,1,,
23,3,,
19,1,,
16,1,,
