Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
58,65,1.3059536942111625,64
57,164,1.218739156431542,157
56,97,1.1679996845809442,75
55,54,1.0677105625961698,48
54,30,1.2291422941331123,27
53,139,1.2815331643181012,135
52,148,186592.13435691583,131
51,219,2.8629871000574036,172
50,202,2.0557821001121095,129
49,247,3.4611583980480916,229
48,202,0.8616860789973362,161
47,59,0.7153456471256731,37
46,1237,0.9749985756083619,1228
45,156,0.8157587424082364,11
44,603,,
43,78,1.3318950802142426,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,,
38,31,1.031179970615548,30
37,5,0.7557434844737377,2
36,17,0.9757810139482477,12
35,22,2.489990682158155,4
34,13,1.5167678529790352,10
33,60,0.9010386574606009,28
32,10,,
31,16,0.8503641001312033,6
30,10,,
29,19,1.5135298072840664,5
28,12,,
27,82,0.8472708917269883,2
26,4,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
