Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,0.639660971715185,49
55,151,0.18675871510906092,144
54,69,0.17488192511928055,55
53,37,0.13104464337115385,29
52,27,0.20016533285378885,23
51,115,0.18752455888572125,113
50,89,0.2366035248971005,77
49,135,0.1501624959197977,103
48,153,0.2655416377157439,87
47,202,0.1547199810894382,190
46,176,0.11669856467405619,147
45,54,0.1094022181682456,35
44,1205,0.07351826424825104,1202
43,151,0.07980685607145661,10
42,605,0.09222773185598167,604
41,75,0.292275686152159,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,0.12736083477290472,2
34,13,0.5598625650420263,9
33,16,0.7561383943007703,4
32,11,0.4158007665695501,9
31,54,0.05717842130821119,28
30,8,,
29,8,0.19078213545686845,5
28,5,,
27,12,0.5751861619449352,4
26,7,,
25,67,0.06690304055248675,3
23,3,,
19,1,,
16,1,,
