Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,51,,
55,147,0.0590043399036682,142
54,71,0.034923652071348024,55
53,37,0.04315704966735107,29
52,28,0.1005466427549406,24
51,112,0.04096082133032446,111
50,92,0.048733088152123245,78
49,138,0.054820314607758505,107
48,147,0.08191726174936823,85
47,203,0.04991405579015837,189
46,176,0.04536859283849869,146
45,56,0.05542319160403468,36
44,1215,0.0358479412797506,1213
43,139,0.032239625174854666,9
42,598,0.030517701070631516,596
41,83,0.006617076549222223,4
40,1,,
39,3,,
38,1,,
37,5,,
36,29,0.051364996051632576,27
35,4,0.07531733152556885,2
34,12,0.43218027549462124,8
33,15,0.23495749084303685,2
32,12,0.4628604272443301,8
31,56,0.029369004986436954,29
30,7,,
29,8,0.167995660028262,5
28,5,,
27,13,0.2557840846956049,5
26,6,,
25,66,0.34796441707597575,2
24,1,,
23,3,,
19,1,,
16,1,,
