Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,47,,
55,148,0.35260838376501924,139
54,77,0.339566415999209,58
53,33,0.3934211341115692,28
52,30,0.38997100024745346,25
51,116,,
50,83,0.21621063814531896,74
49,143,0.22317145117108209,108
48,147,0.2474662596269966,86
47,192,0.2958861611296243,179
46,191,0.27927327930424023,151
45,49,0.22172120041487794,34
44,1228,0.1513600635337259,1224
43,130,0.21549025415350673,11
42,595,,
41,83,0.0678972973084729,3
40,2,0.34834789763539226,1
39,3,,
38,1,,
37,7,,
36,23,,
35,8,0.29763454570571957,2
34,11,0.4964466502147589,7
33,18,0.5833455176211237,4
32,11,0.5056922475788782,9
31,52,0.14104123252928857,26
30,10,,
29,9,0.2309007601868266,6
28,4,,
27,12,0.35800847440424644,4
26,7,,
25,66,0.1208579367101118,2
24,1,,
23,3,,
19,1,,
16,1,,
