Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,0.6059615384615383,52
55,148,0.06187500000000003,144
54,71,0.02456140350877191,57
53,37,0.037741935483870954,31
52,25,0.15652173913043482,23
51,111,0.02935779816513762,109
50,91,0.032840000400000006,75
49,132,0.044085124320000016,125
48,153,0.08123723147058827,136
47,213,0.010095959450000037,200
46,164,0.0107254693959732,149
45,58,0.011443186111111177,36
44,1209,0.005465237765780788,1204
43,150,1.9176579516252704e-16,11
42,607,,
41,71,0.0,3
40,2,0.0,1
39,3,,
38,1,,
37,7,,
36,24,,
35,6,3.3306690738754696e-16,1
34,13,0.0016250037500000064,8
33,16,2.4151802499999997,4
32,13,0.048000000000000285,10
31,54,0.0006896551724140693,29
30,7,,
29,9,7.031412489292658e-16,6
28,4,,
27,13,8.881784197001253e-17,5
26,6,,
25,67,7.401486830834377e-17,3
23,3,,
19,1,,
16,1,,
