Iteration,SampleCount,S_RADIUS_EST,S_RADIUS_EST_Weight
56,53,0.44426923076923075,52
55,143,0.33855792607293483,139
54,74,0.3570561362466663,55
53,38,0.3953471619956643,30
52,24,0.4932310485846471,21
51,114,0.30848560406149145,110
50,90,0.3448297050444502,75
49,143,0.4148755372322455,136
48,134,0.5362609407299342,128
47,219,0.4007388107551962,198
46,174,0.4544056699604059,157
45,53,0.40984681257461203,39
44,1207,0.246507789756395,1205
43,149,0.25369810101123325,11
42,608,,
41,70,0.3052071526600102,3
40,1,,
39,3,0.21507047664804912,2
38,2,0.43505979014580176,1
37,5,,
36,28,0.37690476929015854,26
35,5,0.2760136864892324,2
34,13,0.6984276119713424,9
33,15,3.4270739588211607,4
32,12,0.6533695516944289,9
31,53,0.24949348170251387,27
30,9,,
29,9,0.1803111540482971,6
28,4,,
27,12,0.4800021581220737,4
26,7,,
25,66,0.13,2
24,1,,
23,3,,
19,1,,
16,1,,
